,age,gender,VCF0346,VCF0347,VCF0361,VCF0373,VCF0380,VCF0724,VCF0729,VCF0878,VCF0204,VCF0207,VCF0210,VCF0217,VCF0218,VCF0219,VCF0223,VCF0227_dk,VCF0228_dk,VCF0231_dk,VCF0231,VCF0232_dk,VCF0234_dk,VCF0290,VCF0413_dk,VCF0414_dk,VCF0414,VCF0415_dk,VCF0424_dk,VCF0425,VCF0426,VCF0427,VCF0428,VCF0429,VCF0906,VCF0909,VCF9005,VCF9057,VCF0649,VCF0801_dk,VCF0114_r2,VCF0504,VCF0542,VCF0550_dk,VCF0803,VCF9081_dk,VCF9084_dk,VCF9095_dk,VCF0886_dk,VCF0894_dk,VCF0852_dk,VCF0854_dk,VCF9014,VCF9015,VCF9016,VCF9017,VCF9039,VCF9041_dk,VCF9042_dk,VCF0140a,VCF0130,VCF0451,VCF0604,VCF0606_dk,VCF0838_dk,VCF0847,VCF0850,VCF0881_dk,VCF9009_dk,VCF9045_dk,VCF0105a_oh2,VCF0105a_oh4,VCF0105a_oh6,VCF0107_oh2,VCF0107_oh4,VCF0112_oh3,VCF0128_oh2,VCF0128_oh3,VCF0147_oh3,VCF0149_oh1,VCF0149_oh3,VCF0302_oh2,VCF0302_oh4,VCF0302_oh5,VCF0823_oh3,VCF1004_oh1,VCF9131_oh3,VCF0206_int,VCF0209_int,VCF0210_int,VCF0211_int,VCF0212_int,VCF0217_int,VCF0253_int,VCF0471_int,VCF0907_int,VCF0908_int,VCF9056_int,VCF0649_int,VCF0656_int,VCF0604_int,VCF0605_int,VCF0880a_int,year,VCF0702
7843,31.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.0,15.0,-0.0,-0.0,-0.0,50.0,25.0,False,False,False,-0.0,False,False,25.0,False,False,-0.0,False,False,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,,100.0,False,33.0,7.0,1.0,False,4.0,False,False,False,False,False,False,False,3.0,3.0,3.0,3.0,3.0,False,False,3.0,5.0,1.0,2.0,False,False,0.0,2.0,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7844,29.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,30.0,50.0,70.0,70.0,85.0,70.0,60.0,False,False,False,40.0,False,False,40.0,False,False,30.0,False,False,60.0,15.0,-0.0,75.0,60.0,50.0,50.0,70.0,40.0,50.0,False,16.0,6.0,1.0,False,2.0,False,False,False,False,False,False,False,5.0,1.0,5.0,5.0,2.0,False,False,5.0,5.0,3.0,3.0,False,False,0.0,3.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7845,37.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,90.0,70.0,50.0,95.0,60.0,50.0,45.0,False,False,False,45.0,False,False,50.0,False,False,45.0,False,False,60.0,30.0,30.0,85.0,60.0,70.0,50.0,65.0,65.0,50.0,False,95.0,6.0,3.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,5.0,3.0,4.0,False,False,6.0,2.0,4.0,3.0,False,False,2.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7846,70.0,0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,40.0,50.0,-0.0,65.0,-0.0,50.0,45.0,False,False,False,50.0,False,False,35.0,False,False,45.0,False,False,0.0,85.0,90.0,-0.0,0.0,-0.0,95.0,50.0,,50.0,False,16.0,6.0,3.0,False,6.0,False,False,False,False,False,False,False,1.0,3.0,1.0,1.0,4.0,False,False,6.0,5.0,1.0,2.0,False,False,0.0,3.0,False,False,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7847,69.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,85.0,75.0,60.0,75.0,70.0,85.0,85.0,False,False,False,60.0,False,False,50.0,False,False,55.0,False,False,85.0,40.0,30.0,85.0,85.0,70.0,70.0,70.0,40.0,50.0,False,95.0,7.0,1.0,False,3.0,False,False,False,False,False,False,False,4.0,2.0,5.0,4.0,2.0,False,False,6.0,1.0,4.0,3.0,False,False,3.0,1.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7848,51.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,95.0,95.0,80.0,95.0,70.0,95.0,95.0,False,False,False,60.0,False,False,35.0,False,False,50.0,False,False,90.0,30.0,15.0,95.0,90.0,70.0,50.0,80.0,50.0,100.0,False,95.0,7.0,2.0,False,1.0,False,False,False,False,False,False,False,5.0,2.0,5.0,5.0,2.0,False,False,5.0,1.0,4.0,2.0,False,False,3.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7849,44.0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,60.0,15.0,40.0,15.0,95.0,50.0,False,False,False,-0.0,False,False,15.0,False,False,30.0,False,False,-0.0,60.0,60.0,-0.0,-0.0,,85.0,60.0,60.0,-0.0,False,95.0,7.0,3.0,False,4.0,False,False,False,False,False,False,False,2.0,4.0,4.0,2.0,5.0,False,False,7.0,5.0,1.0,,False,False,2.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7850,27.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,95.0,75.0,65.0,50.0,85.0,50.0,70.0,False,False,False,45.0,False,False,50.0,False,False,60.0,False,False,70.0,30.0,50.0,95.0,70.0,45.0,25.0,45.0,25.0,50.0,False,33.0,6.0,5.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,4.0,3.0,4.0,False,False,5.0,1.0,4.0,,False,False,3.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7851,60.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,90.0,5.0,5.0,50.0,85.0,50.0,False,False,False,-0.0,False,False,50.0,False,False,45.0,False,False,45.0,55.0,50.0,55.0,45.0,-0.0,10.0,15.0,15.0,-0.0,False,95.0,4.0,5.0,False,4.0,False,False,False,False,False,False,False,2.0,4.0,4.0,2.0,5.0,False,False,3.0,2.0,1.0,2.0,False,False,2.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7852,62.0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,75.0,60.0,55.0,40.0,95.0,60.0,75.0,False,False,False,40.0,False,False,60.0,False,False,35.0,False,False,60.0,-0.0,15.0,95.0,60.0,70.0,15.0,50.0,15.0,100.0,False,33.0,7.0,3.0,False,2.0,False,False,False,False,False,False,False,3.0,4.0,5.0,5.0,5.0,False,False,5.0,5.0,4.0,3.0,False,False,1.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7853,59.0,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,50.0,-0.0,50.0,40.0,60.0,60.0,False,False,False,-0.0,False,False,45.0,False,False,55.0,False,False,50.0,70.0,60.0,70.0,50.0,45.0,50.0,50.0,30.0,50.0,False,95.0,5.0,3.0,False,6.0,False,False,False,False,False,False,False,2.0,5.0,3.0,1.0,5.0,False,False,6.0,5.0,3.0,,False,False,0.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7854,57.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,50.0,-0.0,60.0,50.0,95.0,70.0,False,False,False,40.0,False,False,50.0,False,False,45.0,False,False,40.0,60.0,50.0,40.0,40.0,-0.0,-0.0,30.0,-0.0,50.0,False,95.0,4.0,2.0,False,4.0,False,False,False,False,False,False,False,3.0,3.0,3.0,3.0,3.0,False,False,5.0,3.0,1.0,,False,False,2.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7855,45.0,1,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,70.0,95.0,60.0,85.0,70.0,95.0,85.0,False,False,False,75.0,False,False,50.0,False,False,65.0,False,False,85.0,30.0,50.0,90.0,85.0,50.0,50.0,60.0,,50.0,False,67.0,6.0,3.0,False,4.0,False,False,False,False,False,False,False,4.0,2.0,4.0,4.0,4.0,False,False,5.0,5.0,4.0,3.0,False,False,0.0,2.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7856,63.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,90.0,50.0,50.0,50.0,85.0,80.0,70.0,False,False,False,75.0,False,False,55.0,True,False,35.0,False,False,75.0,-0.0,0.0,95.0,75.0,60.0,60.0,75.0,65.0,50.0,False,16.0,1.0,3.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,3.0,3.0,3.0,False,False,7.0,5.0,4.0,,False,False,1.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,2012,0
7857,60.0,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,60.0,85.0,40.0,70.0,60.0,95.0,60.0,False,False,False,40.0,False,False,60.0,False,False,30.0,False,False,-0.0,60.0,60.0,40.0,-0.0,85.0,85.0,50.0,50.0,50.0,False,95.0,5.0,2.0,False,4.0,False,False,False,False,False,False,False,2.0,4.0,4.0,4.0,4.0,False,False,5.0,2.0,2.0,,False,False,2.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7858,38.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,95.0,50.0,-0.0,60.0,95.0,70.0,60.0,False,False,False,50.0,False,False,45.0,False,False,45.0,False,False,95.0,-0.0,-0.0,95.0,95.0,30.0,10.0,85.0,-0.0,50.0,False,33.0,1.0,4.0,False,4.0,False,False,False,False,False,False,False,5.0,1.0,3.0,1.0,1.0,False,False,5.0,2.0,4.0,,False,False,3.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7859,74.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,70.0,70.0,70.0,60.0,60.0,95.0,85.0,False,False,False,30.0,False,False,55.0,False,False,40.0,False,False,15.0,70.0,70.0,15.0,15.0,50.0,50.0,60.0,60.0,50.0,False,33.0,5.0,3.0,False,6.0,False,False,False,False,False,False,False,4.0,2.0,2.0,4.0,2.0,False,False,4.0,1.0,1.0,,False,False,3.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,2012,0
7860,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,50.0,50.0,60.0,80.0,80.0,False,False,False,40.0,False,False,35.0,False,False,50.0,False,False,50.0,25.0,50.0,65.0,50.0,50.0,50.0,50.0,35.0,50.0,False,95.0,7.0,2.0,False,3.0,False,False,False,False,False,False,False,5.0,2.0,3.0,4.0,2.0,False,False,5.0,5.0,3.0,,False,False,0.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7861,60.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,70.0,-0.0,70.0,30.0,70.0,60.0,False,False,False,-0.0,False,False,45.0,False,False,50.0,False,False,40.0,70.0,60.0,60.0,40.0,,,70.0,,50.0,False,67.0,2.0,2.0,False,3.0,False,False,False,False,False,False,False,5.0,1.0,5.0,4.0,2.0,False,False,6.0,5.0,1.0,2.0,False,False,0.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7862,38.0,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,60.0,10.0,70.0,50.0,75.0,85.0,85.0,False,False,False,70.0,False,False,35.0,False,False,25.0,False,False,50.0,-0.0,-0.0,95.0,50.0,,,80.0,,-0.0,False,16.0,1.0,4.0,False,4.0,False,False,False,False,False,False,False,5.0,2.0,4.0,5.0,2.0,False,False,3.0,5.0,4.0,,False,False,0.0,,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7863,64.0,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,50.0,,50.0,50.0,,,False,False,False,,False,False,50.0,False,False,50.0,False,False,50.0,50.0,50.0,50.0,50.0,,,,,,False,95.0,,,False,4.0,False,False,False,False,False,False,False,3.0,3.0,3.0,3.0,5.0,False,False,5.0,1.0,,,False,False,,,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7864,58.0,0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,70.0,60.0,95.0,50.0,70.0,50.0,95.0,False,False,False,70.0,False,False,50.0,False,False,50.0,False,False,60.0,40.0,40.0,60.0,60.0,50.0,50.0,95.0,,100.0,False,16.0,3.0,5.0,False,4.0,False,False,False,False,False,False,False,3.0,4.0,3.0,4.0,3.0,False,False,2.0,1.0,3.0,,False,False,3.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,2012,1
7865,59.0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,50.0,50.0,-0.0,50.0,-0.0,60.0,60.0,False,False,False,10.0,False,False,35.0,False,False,40.0,False,False,-0.0,85.0,85.0,-0.0,-0.0,-0.0,-0.0,15.0,60.0,-0.0,False,33.0,6.0,3.0,False,6.0,False,False,False,False,False,False,False,3.0,4.0,2.0,2.0,4.0,False,False,3.0,5.0,1.0,2.0,False,False,1.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7866,38.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,80.0,45.0,90.0,45.0,95.0,95.0,75.0,False,False,False,75.0,False,False,70.0,False,False,70.0,False,False,95.0,-0.0,50.0,95.0,95.0,75.0,75.0,60.0,50.0,50.0,False,67.0,1.0,2.0,False,4.0,False,False,False,False,False,False,False,4.0,1.0,5.0,5.0,1.0,False,False,3.0,2.0,4.0,3.0,False,False,3.0,1.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7867,63.0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,50.0,55.0,50.0,60.0,45.0,70.0,False,False,False,45.0,False,False,55.0,False,False,55.0,False,False,60.0,50.0,50.0,60.0,60.0,30.0,,55.0,50.0,50.0,False,33.0,2.0,5.0,False,2.0,False,False,False,False,False,False,False,4.0,5.0,2.0,4.0,4.0,False,False,7.0,4.0,3.0,,False,False,3.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7868,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,70.0,45.0,50.0,55.0,70.0,30.0,False,False,False,45.0,False,False,45.0,False,False,50.0,False,False,50.0,35.0,50.0,60.0,50.0,50.0,50.0,60.0,50.0,50.0,False,67.0,5.0,4.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,3.0,3.0,3.0,False,False,7.0,5.0,3.0,,False,False,0.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7869,44.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,90.0,60.0,90.0,70.0,60.0,60.0,False,False,False,40.0,False,False,40.0,False,False,50.0,False,False,70.0,15.0,30.0,85.0,70.0,75.0,30.0,60.0,,50.0,False,67.0,6.0,3.0,False,2.0,False,False,False,False,False,False,False,4.0,2.0,4.0,4.0,2.0,False,False,7.0,5.0,4.0,2.0,False,False,0.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7870,40.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,85.0,75.0,45.0,75.0,40.0,60.0,50.0,False,False,False,25.0,False,False,40.0,False,False,40.0,False,False,50.0,55.0,30.0,55.0,50.0,60.0,50.0,65.0,40.0,50.0,False,95.0,7.0,1.0,False,4.0,False,False,False,False,False,False,False,3.0,4.0,3.0,2.0,3.0,False,False,5.0,2.0,3.0,,False,False,2.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7871,19.0,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,70.0,-0.0,70.0,-0.0,,,False,False,False,-0.0,False,False,35.0,False,False,45.0,False,False,-0.0,90.0,90.0,15.0,-0.0,30.0,,50.0,70.0,50.0,False,,5.0,3.0,False,6.0,False,False,False,False,False,False,False,3.0,5.0,3.0,2.0,3.0,False,False,5.0,2.0,1.0,,False,False,3.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7872,66.0,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,60.0,85.0,85.0,60.0,85.0,85.0,95.0,False,False,False,70.0,False,False,40.0,False,False,45.0,False,False,95.0,-0.0,-0.0,95.0,95.0,70.0,70.0,85.0,,-0.0,False,16.0,1.0,2.0,False,6.0,False,False,False,False,False,False,False,5.0,1.0,5.0,5.0,1.0,False,False,4.0,3.0,4.0,,False,False,3.0,1.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,2012,0
7873,60.0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,95.0,95.0,40.0,70.0,95.0,80.0,False,False,False,40.0,False,False,35.0,False,False,25.0,False,False,50.0,-0.0,-0.0,30.0,50.0,50.0,50.0,60.0,40.0,100.0,False,67.0,1.0,2.0,False,7.0,False,False,False,False,False,False,False,3.0,2.0,5.0,4.0,2.0,False,False,3.0,3.0,2.0,,False,False,3.0,1.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7874,47.0,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,60.0,70.0,50.0,60.0,70.0,70.0,85.0,False,False,False,60.0,False,False,55.0,False,False,65.0,False,False,80.0,50.0,50.0,85.0,80.0,,50.0,50.0,,50.0,False,67.0,5.0,3.0,False,3.0,False,False,False,False,False,False,False,4.0,2.0,5.0,4.0,2.0,False,False,5.0,5.0,3.0,,False,False,2.0,1.0,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
7875,72.0,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,50.0,70.0,50.0,70.0,50.0,60.0,60.0,False,False,False,40.0,False,False,25.0,False,False,30.0,False,False,60.0,-0.0,-0.0,70.0,60.0,,,50.0,,50.0,False,,7.0,4.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,3.0,3.0,3.0,False,False,3.0,3.0,3.0,,False,False,1.0,,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7876,24.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,60.0,50.0,40.0,50.0,50.0,80.0,30.0,False,False,False,70.0,False,False,55.0,False,False,45.0,False,False,30.0,60.0,60.0,60.0,30.0,50.0,50.0,80.0,40.0,50.0,False,16.0,6.0,3.0,False,5.0,False,False,False,False,False,False,False,1.0,5.0,4.0,1.0,4.0,False,False,5.0,1.0,3.0,3.0,False,False,1.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7877,56.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,95.0,70.0,50.0,95.0,95.0,95.0,95.0,False,False,False,85.0,False,False,45.0,False,False,45.0,False,False,95.0,-0.0,-0.0,95.0,95.0,100.0,,80.0,-0.0,100.0,False,16.0,7.0,7.0,False,2.0,False,False,False,False,False,False,False,5.0,1.0,3.0,5.0,1.0,False,False,3.0,1.0,4.0,,False,False,3.0,2.0,False,False,False,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7878,63.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,85.0,60.0,70.0,60.0,50.0,60.0,False,False,False,40.0,False,False,45.0,False,False,75.0,False,False,85.0,30.0,70.0,85.0,85.0,60.0,,85.0,50.0,100.0,False,33.0,6.0,2.0,False,4.0,False,False,False,False,False,False,False,5.0,2.0,4.0,4.0,2.0,False,False,3.0,4.0,3.0,3.0,False,False,0.0,3.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7879,59.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,60.0,65.0,45.0,70.0,15.0,80.0,55.0,False,False,False,30.0,False,False,40.0,False,False,45.0,False,False,0.0,80.0,90.0,20.0,0.0,,,70.0,,50.0,False,95.0,5.0,3.0,False,5.0,False,False,False,False,False,False,False,2.0,4.0,2.0,2.0,4.0,False,False,6.0,5.0,1.0,,False,False,2.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7880,76.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,90.0,40.0,80.0,40.0,70.0,85.0,False,False,False,65.0,False,False,55.0,False,False,55.0,False,False,50.0,70.0,60.0,70.0,50.0,60.0,60.0,70.0,60.0,50.0,False,33.0,4.0,2.0,False,4.0,False,False,False,False,False,False,False,3.0,2.0,3.0,2.0,3.0,False,False,3.0,2.0,3.0,2.0,False,False,2.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7881,39.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-0.0,95.0,35.0,95.0,60.0,70.0,60.0,False,False,False,40.0,False,False,50.0,False,False,40.0,False,False,70.0,30.0,15.0,70.0,70.0,75.0,,65.0,50.0,100.0,False,95.0,5.0,2.0,False,4.0,False,False,False,False,False,False,False,4.0,4.0,4.0,3.0,4.0,False,False,7.0,5.0,2.0,2.0,False,False,0.0,2.0,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,0
7882,37.0,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,15.0,40.0,30.0,95.0,55.0,50.0,50.0,False,False,False,15.0,False,False,50.0,False,False,55.0,False,False,65.0,35.0,45.0,60.0,65.0,65.0,65.0,65.0,40.0,-0.0,False,16.0,6.0,6.0,False,3.0,False,False,False,False,False,False,False,4.0,1.0,2.0,4.0,1.0,False,False,5.0,5.0,3.0,2.0,False,False,0.0,3.0,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,2012,0
7883,30.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,60.0,-0.0,50.0,50.0,50.0,False,False,False,10.0,False,False,25.0,False,False,25.0,False,False,50.0,-0.0,-0.0,50.0,50.0,,,60.0,,-0.0,False,67.0,6.0,4.0,False,3.0,False,False,False,False,False,False,False,2.0,2.0,4.0,4.0,4.0,False,False,6.0,5.0,3.0,2.0,False,False,1.0,1.0,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2012,1
